Query Number,Time,SQLStatement

862, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=431, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

852, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=426, 

854, 0.0013185, SELECT itemID FROM dataminingdb.itemsets WHERE transId=427, 

856, 0.001296, SELECT itemID FROM dataminingdb.itemsets WHERE transId=428, 

858, 0.00128825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=429, 

860, 0.00136025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=430, 

862, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=431, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

854, 0.0013185, SELECT itemID FROM dataminingdb.itemsets WHERE transId=427, 

856, 0.001296, SELECT itemID FROM dataminingdb.itemsets WHERE transId=428, 

858, 0.00128825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=429, 

860, 0.00136025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=430, 

862, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=431, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

856, 0.001296, SELECT itemID FROM dataminingdb.itemsets WHERE transId=428, 

858, 0.00128825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=429, 

860, 0.00136025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=430, 

862, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=431, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

858, 0.00128825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=429, 

860, 0.00136025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=430, 

862, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=431, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

860, 0.00136025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=430, 

862, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=431, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

862, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=431, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

864, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=432, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

866, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=433, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

868, 0.001312, SELECT itemID FROM dataminingdb.itemsets WHERE transId=434, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

870, 0.00132525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=435, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

872, 0.0013215, SELECT itemID FROM dataminingdb.itemsets WHERE transId=436, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

874, 0.0013505, SELECT itemID FROM dataminingdb.itemsets WHERE transId=437, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

876, 0.00129575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=438, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

878, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=439, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

880, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=440, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

882, 0.00133475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=441, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

884, 0.001337, SELECT itemID FROM dataminingdb.itemsets WHERE transId=442, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

886, 0.00148725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=443, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

888, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=444, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

890, 0.00129875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=445, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

892, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=446, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

894, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=447, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

896, 0.00130775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=448, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

898, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=449, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

900, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=450, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

902, 0.00136725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=451, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

904, 0.00136275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=452, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

906, 0.001342, SELECT itemID FROM dataminingdb.itemsets WHERE transId=453, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

908, 0.00136975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=454, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

910, 0.00139375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=455, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

912, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=456, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

914, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=457, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

916, 0.001311, SELECT itemID FROM dataminingdb.itemsets WHERE transId=458, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

918, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=459, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

920, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=460, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

922, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=461, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

936, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=468, 

924, 0.00130475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=462, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

936, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=468, 

938, 0.00129925, SELECT itemID FROM dataminingdb.itemsets WHERE transId=469, 

926, 0.00129675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=463, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

936, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=468, 

938, 0.00129925, SELECT itemID FROM dataminingdb.itemsets WHERE transId=469, 

940, 0.00132175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=470, 

928, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=464, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

936, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=468, 

938, 0.00129925, SELECT itemID FROM dataminingdb.itemsets WHERE transId=469, 

940, 0.00132175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=470, 

942, 0.0013355, SELECT itemID FROM dataminingdb.itemsets WHERE transId=471, 

930, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=465, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

936, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=468, 

938, 0.00129925, SELECT itemID FROM dataminingdb.itemsets WHERE transId=469, 

940, 0.00132175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=470, 

942, 0.0013355, SELECT itemID FROM dataminingdb.itemsets WHERE transId=471, 

944, 0.0012985, SELECT itemID FROM dataminingdb.itemsets WHERE transId=472, 

932, 0.00131625, SELECT itemID FROM dataminingdb.itemsets WHERE transId=466, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

936, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=468, 

938, 0.00129925, SELECT itemID FROM dataminingdb.itemsets WHERE transId=469, 

940, 0.00132175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=470, 

942, 0.0013355, SELECT itemID FROM dataminingdb.itemsets WHERE transId=471, 

944, 0.0012985, SELECT itemID FROM dataminingdb.itemsets WHERE transId=472, 

946, 0.00129925, SELECT itemID FROM dataminingdb.itemsets WHERE transId=473, 

934, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=467, 

936, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=468, 

938, 0.00129925, SELECT itemID FROM dataminingdb.itemsets WHERE transId=469, 

940, 0.00132175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=470, 

